📄 Справка по спортзалам в Казахстане
Дата составления: 05.08.2025

🏙️ Город: {{ город }}
📌 Общее количество спортзалов: {{ общее_количество_залов }}
🧾 Список спортзалов
№	Название зала	Адрес	Виды тренировок	Время работы	Контакты
1	{{ название_зала }}	{{ адрес }}	{{ список_услуг }}	{{ график_работы }}	{{ телефон/сайт }}
2	...	...	...	...	...

📊 Статистика по городу
Количество залов с бассейнами: {{ число_с_бассейнами }}

Количество 24/7 залов: {{ число_круглосуточных }}

Средняя стоимость абонемента: {{ средняя_цена }} ₸

Популярные виды тренировок: {{ топ_тренировок }}

🏅 Лучшие залы по отзывам пользователей
Название зала	Средняя оценка	Кол-во отзывов
{{ зал_1 }}	{{ рейтинг_1 }}⭐️	{{ отзывов_1 }}
{{ зал_2 }}	{{ рейтинг_2 }}⭐️	{{ отзывов_2 }}
...	...	...

🗺️ Распределение по районам
Район	Кол-во залов
{{ район_1 }}	{{ число }}
{{ район_2 }}	{{ число }}
...	...

📋 Ответ системы:
# Отчёт: Кто и сколько

В представленном наборе данных содержится информация о пользователях и количестве их действий. Ниже приведён полный отчёт по каждому имени и количеству действий, выполненных под этим именем.

| Имя              | Количество действий |
|------------------|---------------------|
| Кайрат Мухамеджанов | 25                  |
| Динара Мухамеджанов | 21                  |
| Жанар Кадырбаев     | 23                  |
| Ляззат Сулейменов   | 20                  |
| Назгуль Тлеубаев    | 20                  |
| Сандугаш Мухамеджанов | 19                  |
| Ляззат Кадырбаев    | 19                  |
| Ляззат Абдрахманов  | 13                  |
| Нурлан Тлеубаев     | 16                  |
| Максат Жумабаев     | 17                  |
| Мадина Нуржанов     | 16                  |
| Сабит Оспанов       | 22                  |
| Назгуль Абдрахманов | 27                  |
| Айгуль Хасенов      | 22                  |
| Динара Абдрахманов  | 21                  |
| Бауыржан Тлеубаев   | 19                  |
| Ляззат Жумабаев     | 23                  |
| Динара Сулейменов   | 22                  |
| Назгуль Исмагулов   | 16                  |
| Айдос Шарипов       | 13                  |
| Тамара Нуржанов     | 9                   |
| Руслан Хасенов      | 24                  |
| Динара Оспанов      | 18                  |
| Сабит Кадырбаев     | 19                  |
| Улан Бектуров       | 23                  |
| Максат Кадырбаев    | 23                  |
| Назгуль Оспанов     | 18                  |
| Данияр Мухамеджанов | 14                  |
| Тамара Исмагулов    | 16                  |
| Назгуль Шарипов     | 27                  |
| Сабит Хасенов       | 16                  |
| Кайрат Тлеубаев     | 12                  |
| Жанар Оспанов       | 29                  |
| Тимур Бектуров      | 20                  |
| Ляззат Шарипов      | 17                  |
| Тамара Сулейменов   | 20                  |
| Сабит Мухамеджанов  | 21                  |
| Назгуль Мухамеджанов| 18                  |
| Максат Шарипов      | 17                  |
| Айдос Кадырбаев     | 23                  |
| Сандугаш Тлеубаев  | 29                  |
| Бауыржан Оспанов    | 19                  |
| Максат Оспанов      | 28                  |
| Алмаз Жумабаев      | 20                  |
| Тимур Хасенов       | 11                  |
| Тимур Жумабаев      | 20                  |
| Тимур Нуржанов      | 21                  |
| Тимур Сулейменов    | 20                  |
| Руслан Абдрахманов  | 30                  |
| Кайрат Шарипов      | 22                  |
| Ляззат Исмагулов    | 25                  |
| Назгуль Кадырбаев   | 24                  |
| Сабит Нуржанов      | 13                  |
| Жанар Хасенов       | 21                  |
| Ерлан Тлеубаев      | 26                  |
| Максат Сулейменов   | 17                  |
