📄 Справка по спортзалам в Казахстане
Дата составления: 06.08.2025

🏙️ Город: {{ город }}
📌 Общее количество спортзалов: {{ общее_количество_залов }}
🧾 Список спортзалов
№	Название зала	Адрес	Виды тренировок	Время работы	Контакты
1	{{ название_зала }}	{{ адрес }}	{{ список_услуг }}	{{ график_работы }}	{{ телефон/сайт }}
2	...	...	...	...	...

📊 Статистика по городу
Количество залов с бассейнами: {{ число_с_бассейнами }}

Количество 24/7 залов: {{ число_круглосуточных }}

Средняя стоимость абонемента: {{ средняя_цена }} ₸

Популярные виды тренировок: {{ топ_тренировок }}

🏅 Лучшие залы по отзывам пользователей
Название зала	Средняя оценка	Кол-во отзывов
{{ зал_1 }}	{{ рейтинг_1 }}⭐️	{{ отзывов_1 }}
{{ зал_2 }}	{{ рейтинг_2 }}⭐️	{{ отзывов_2 }}
...	...	...

🗺️ Распределение по районам
Район	Кол-во залов
{{ район_1 }}	{{ число }}
{{ район_2 }}	{{ число }}
...	...

📋 Данные из чата:
# Справка по залам Алматы

Ниже приведён полный список залов в городе Алматы с основной информацией о них.

| Название            | Расположение | Дата открытия           | Открыт | Примечания              |
|--------------------|--------------|-------------------------|--------|-------------------------|
| Iron House 99      | Алматы       | 19 сентября 2012        | Да     |                         |
| Iron House 42      | Алматы       | 1 апреля 2008           | Да     |                         |
| Olympus 31         | Алматы       | 30 октября 1999         | Да     |                         |
| Asiana Sport 29    | Алматы       | 28 октября 2016         | Да     |                         |
| Alatau Gym 39      | Алматы       | 3 октября 2001          | Да     |                         |
| Nomad Fit 7        | Алматы       | 6 февраля 2000          | Да     |                         |
| Olympus 81         | Алматы       | 5 декабря 2014          | Да     |                         |
| Asiana Sport 15    | Алматы       | 25 апреля 2023          | Да     |                         |
| Nomad Fit 53       | Алматы       | 13 июля 2021            | Да     |                         |
| Aktan Gym 68       | Алматы       | 29 декабря 2006         | Да     |                         |
| PowerZone 67       | Алматы       | 7 декабря 2018          | Да     |                         |
| Prime Fitness 74   | Алматы       | 21 декабря 2005         | Да     |                         |
| Zebra Fitness 64   | Алматы       | 1 мая 2006              | Нет    |                         |
| Turan Fitness 19   | Алматы       | 14 декабря 2013         | Да     |                         |
| Turan Fitness 8    | Алматы       | 24 июля 1999            | Да     |                         |
| Prime Fitness 24   | Алматы       | 29 сентября 2007        | Да     |                         |
| PowerZone 96       | Алматы       | 22 января 2003          | Да     |                         |
| Turan Fitness 43   | Алматы       | 5 сентября 1999         | Да     |                         |
| PowerZone 52       | Алматы       | 18 марта 1998           | Да     |                         |
| Prime Fitness 59   | Алматы       | 25 февраля 2022         | Да     |                         |
| Fitness First 21   | Алматы       | 2 июля 2001             | Да     |                         |
| Iron House 22      | Алматы       | 30 июля 2018            | Да     |                         |
| Iron House 23      | Алматы       | 31 августа 2007         | Нет    |                         |
| Iron House 19      | Алматы       | 13 апреля 2022          | Да     |                         |
| GymMax 30          | Алматы       | 15 сентября 2021        | Да     |                         |
| Prime Fitness 64   | Алматы       | 24 января 2018          | Да     |                         |
| Olympus 66         | Алматы       | 9 ноября 2013           | Да     |                         |
| Fitness First 98   | Алматы       | 4 июля 2024             | Да     |                         |
| Nomad Fit 36       | Алматы       | 3 августа 2009          | Да     |                         |
| Asiana Sport 60    | Алматы       | 23 июня 2007            | Да     |                         |
| Aktan Gym 97       | Алматы       | 29 ноября 1998          | Да     |                         |
| World Class 97     | Алматы       | 6 ноября 2003           | Да     |                         |
| Prime Fitness 35   | Алматы       | 19 сентября 2016        | Нет    |                         |
| Aktan Gym 55       | Алматы       | 9 января 2022           | Да     |                         |
| Iron House 38      | Алматы       | 7 января 2019           | Да     |                         |
| PowerZone 79       | Алматы       | 1 июня 2023             | Да     |                         |
| Flex Gym 25        | Алматы       | 6 января 2011           | Да     |                         |
| Fitness First 6    | Алматы       | 24 июля 1998            | Да     |                         |
| PowerZone 28       | Алматы       | 5 марта 2017            | Да     |                         |
| Flex Gym 83        | Алматы       | 8 мая 2022              | Да     |                         |
| Iron House 90      | Алматы       | 13 июля 2000            | Да     |                         |
| World Class 52     | Алматы       | 4 марта 2012            | Да     |                         |
| Alatau Gym 22      | Алматы       | 11 марта 1998           | Нет    |                         |
| Turan Fitness 69   | Алматы       | 17 марта 1998           | Да     |                         |
| PowerZone 21       | Алматы       | 22 сентября 2004        | Да     |                         |
| Fitness First 78   | Алматы       | 4 мая 2018              | Да     |                         |
| Aktan Gym 35       | Алматы       | 5 июня 2005             | Да     |                         |
| Iron House 33      | Алматы       | 9 апреля 2009           | Да     |                         |
| Turan Fitness 77   | Алматы       | 24 сентября 2001        | Нет    |                         |
| GymMax 55          | Алматы       | 19 июля 2007            | Да     |                         |
| Prime Fitness 44   | Алматы       | 10 ноября 2003          | Да     |                         |
| Turan Fitness 10   | Алматы       | 31 июля 2000            | Да     |                         |
| Fitness First 42   | Алматы       | 26 апреля 1998          | Нет    |                         |
| Fitness First 82   | Алматы       | 13 августа 1996         | Да     |                         |
| World Class 33     | Алматы       | 1 января 2011           | Да     |                         |
| World Class 28     | Алматы       | 7 мая 2023              | Да     |                         |
| Flex Gym 71        | Алматы       | 17 мая 2014             | Да     |                         |
| Olympus 11         | Алматы       | 31 марта 2022           | Да     |                         |
| Fitness First 16   | Алматы       | 11 декабря 1997         | Да     |                         |
| Alatau Gym 62      | Алматы       | 12 октября 2002         | Да     |                         |
| Iron House 77      | Алматы       | 7 мая 1997              | Да     |                         |
| Zebra Fitness 48   | Алматы       | 4 сентября 2023         | Да     |                         |
| Fitness First 31   | Алматы       | 29 июля 2000            | Да     |                         |
| World Class 84     | Алматы       | 9 июля 2008             | Да     |                         |
| Nomad Fit 25       | Алматы       | 4 апреля 2012           | Да     |                         |
| Fitness First 83   | Алматы       | 6 мая 2024              | Да     |                         |
| PowerZone 26       | Алматы       | 3 марта 2008            | Да     |                         |
| SportLife 44       | Алматы       | 2 февраля 2001          | Да     |                         |
| Olympus 44         | Алматы       | 5 июля 2019             | Да     |                         |
| Olympus 91         | Алматы       | 30 октября 2002         | Да     |                         |
| Fitness First 53   | Алматы       | 7 сентября 2012         | Да     |                         |
| Aktan Gym 9        | Алматы       | 2 сентября 2023         | Да     |                         |
| World Class 88     | Алматы       | 28 декабря 2003         | Да     |                         |
| SportLife 49       | Алматы       | 1 января 2021           | Да     |                         |
| Asiana Sport 14    | Алматы       | 6 марта 1999            | Да     |                         |
| Zebra Fitness 94   | Алматы       | 23 апреля 2000          | Да     |                         |
| GymMax 73          | Алматы       | 12 сентября 1995        | Да     |                         |
| Turan Fitness 49   | Алматы       | 5 декабря 2002          | Да     |                         |
| Prime Fitness 19   | Алматы       | 5 ноября 2007           | Да     |                         |
| Zebra Fitness 38   | Алматы       | 25 мая 2008             | Да     |                         |
| PowerZone 93       | Алматы       | 3 февраля 1998          | Да     |                         |
| Iron House 24      | Алматы       | 2 ноября 1996           | Да     |                         |
| Asiana Sport 38    | Алматы       | 27 марта 1999           | Нет    |                         |
| Zebra Fitness 66   | Алматы       | 14 февраля 2021         | Да     |                         |
